"EDITAR";"ID_PROGRAMA";"PROGRAMA";"REGION";"CANAL";"GENERO";"TEMA";"PERIODO";"DIAS";"RATING";"MILES";"COSTO";"F_CREACION";"C_USUARIO";"MANUAL";
"
";"34503";"N DIRECTO LV-T (17:00 - 18:00 HRS.)";"x";"CANAL 08";"NOTICIERO";"18:00:00";"17:00:00";"L-V";"0";"0";"0";"24/03/17";"AUROCO";"S"
"
";"34522";"ROTATIVO 06:00 - 18:00 HRS, (CINE SABADO 1)";"x";"CANAL 02";"PELICULA";"12:30:00";"11:00:00";"S";"0";"0";"0";"30/03/17";"AUROCO";"S"
"
";"34542";"EL CHAVO DEL OCHO DT";"x";"CANAL 04";"SERIE";"15:00:00";"14:00:00";"D";"0";"0";"0";"05/04/17";"AUROCO";"S"
"
";"34543";"BUTACA AMERICA ST";"x";"CANAL 04";"PELICULA";"17:30:00";"15:30:00";"S";"0";"0";"0";"05/04/17";"AUROCO";"S"
"
";"34544";"EL LUNES EMPIEZO L-MA-J T";"x";"CANAL 06";"MAGAZINE";"14:00:00";"13:30:00";"L-V";"0";"0";"0";"05/04/17";"AUROCO";"S"
"
";"34545";"LA MIRADA DE ANTONIA MI-V T";"x";"CANAL 06";"MAGAZINE";"14:00:00";"13:30:00";"L-V";"0";"0";"0";"05/04/17";"AUROCO";"S"
"
";"34562";"SALSA PA´L BARRIO REP. DT";"x";"WILLAX TV";"MUSICAL";"17:00:00";"16:00:00";"D";"0";"0";"0";"07/04/17";"AUROCO";"S"
"
";"34563";"COMBUTTERS LV-N";"x";"WILLAX TV";"ENTREVISTA";"23:00:00";"22:00:00";"L-V";"0";"0";"0";"07/04/17";"AUROCO";"S"
"
";"34564";"AVENTURA CULINARIA J-MA";"x";"CANAL 06";"CULINARIO";"08:30:00";"08:00:00";"L-V";"0";"0";"0";"07/04/17";"AUROCO";"S"
"
";"34582";"EL ANILLO DE RUBÍ (RUBY RING)";"x";"CANAL 05";"NOVELA";"17:45:00";"16:30:00";"L-V";"0";"0";"0";"27/04/17";"AUROCO";"S"
"
";"34602";"SANTA NOCHE";"x";"WILLAX TV";"HUMOR";"23:00:00";"22:00:00";"L-V";"0";"0";"0";"28/04/17";"AUROCO";"S"
"
";"34662";"PRIMERO A LAS 8 LVN";"x";"CANAL 08";"NOTICIERO";"21:00:00";"20:00:00";"L-V";"0";"0";"0";"12/05/17";"AUROCO";"S"
"
";"34682";"ROTATIVO 00:00 - 06:00 HRS.(HASHTAG)";"x";"CANAL 02";"MAGAZINE";"01:00:00";"00:30:00";"L-V";"0";"0";"0";"15/05/17";"AUROCO";"S"
"
";"34683";"EL WASAP DE JB SN";"x";"FRECUENCIA LATINA - ESTELARES";"HUMOR";"22:00:00";"20:00:00";"S";"0";"0";"0";"15/05/17";"AUROCO";"S"
"
";"34684";"DE VUELTA AL BARRIO";"x";"CANAL 04";"SERIE";"21:30:00";"20:30:00";"L-V";"0";"0";"0";"15/05/17";"AUROCO";"S"
"
";"34685";"DESDE EL JARDIN V T";"x";"CANAL 06";"CULINARIO";"13:30:00";"13:00:00";"L-V";"0";"0";"0";"15/05/17";"AUROCO";"S"
"
";"34686";"COCINA EN UN TOQUE L-N";"x";"CANAL 06";"CULINARIO";"20:00:00";"19:30:00";"L-V";"0";"0";"0";"15/05/17";"AUROCO";"S"
"
";"34687";"AVENTURA CULINARIA  MIT";"x";"CANAL 06";"CULINARIO";"13:00:00";"12:30:00";"L-V";"0";"0";"0";"15/05/17";"AUROCO";"S"
"
";"34688";"XIMENA EN CASA LV-T";"x";"CANAL 06";"CULINARIO";"14:00:00";"13:30:00";"L-V";"0";"0";"0";"15/05/17";"AUROCO";"S"
"
";"34689";"DULCES SECRETOS V-N";"x";"CANAL 06";"CULINARIO";"22:00:00";"21:30:00";"L-V";"0";"0";"0";"15/05/17";"AUROCO";"S"
"
";"34702";"LA FAMILIA INGALLS";"x";"CANAL 05";"SERIE";"19:00:00";"18:00:00";"L-V";"0";"0";"0";"17/05/17";"AUROCO";"S"
"
";"34722";"SITSHOW MIT";"x";"CANAL 06";"MAGAZINE";"15:00:00";"14:00:00";"L-V";"0";"0";"0";"01/06/17";"AUROCO";"S"
"
";"34723";"SITSHOW DT";"x";"CANAL 06";"MAGAZINE";"13:00:00";"12:00:00";"D";"0";"0";"0";"01/06/17";"AUROCO";"S"
"
";"34742";"TIG TERRENOS EN OCALA FLORIDA";"x";"PANAMERICANA TELEVISION";"MAGAZINE";"00:30:00";"00:00:00";"D";"0";"0";"0";"07/06/17";"AUROCO";"S"
"
";"34782";"ROTATIVO 06:00 - 18:00 HRS. (LOS ANIMALES ME IMPORTAN)";"x";"CANAL 02";"MAGAZINE";"12:00:00";"11:00:00";"D";"0";"0";"0";"13/06/17";"AUROCO";"S"
"
";"34802";"ITINERARIO";"x";"RBC TELEVISION";"MAGAZINE";"19:00:00";"18:00:00";"S";"0";"0";"0";"15/06/17";"AUROCO";"S"
