"EDITAR";"C_ORDEN";"C_CONTRATO";"C_CLIENTE";"C_EJECUTIVO";"PRODUCTO";"MOTIVO";"DURACION";"INICIO_VIGENCIA";"FIN_VIGENCIA";"C_MONEDA";"INVERSION";"OBSERVACIONES";"F_CREACION";"C_USUARIO";"C_MEDIO";"IGV";"REVISION";"ACTIVA";"TIPO";
"
";"AUROCO00146";"T025";"C041";"EJ15";"UNIVERSIDAD NORBERT WIENER";"UNIVERSIDAD NORBERT WIENER - ADMISION AGOSTO";"30";"16/08/10";"22/08/10";"";"";"CON CARGO AL CONTRATO CANJE 
MATERIAL NUEVO POR ENVIAR AL CANAL";"13/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00147";"T029";"C063";"EJ26";"PLAY LAND PARK";"PLAY LAND PARK ULTIMA SEMANA EN LIMA";"15";"16/08/10";"22/08/10";"";"";"LOS MONTOS CORRESPONDEN A TARIFA BRUTA 
MATERIAL NUEVO POR ENVIAR AL CANAL";"13/08/10";"AUROCO";"M01";"SI";"0";"";"NORMAL"
"
";"AUROCO00150";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"MORENA";"20";"01/08/10";"31/08/10";"";"";"CON CARGO AL CONTRATO CANJE 
MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00151";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHARAPA";"20";"01/08/10";"31/08/10";"";"";"CON CARGO AL CONTRATO CANJE
MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00152";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHINO";"20";"01/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN DE TRANSMISION AUROCO00152
CON CARGO AL CONTRATO CANJE 
MATERIAL EN PODER DEL CANAL";"19/08/10";"AUROCO";"M04";"SI";"1";"";"NORMAL"
"
";"AUROCO00154";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"MORENA";"20";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL
AVISOS VALORIZADOS 0.00 CORRESPONDEN A BONIFICACIONES";"19/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00155";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHINO";"20";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL
AVISOS VALORIZADOS 0.00 CORRESPONDEN A BONIFICACIONES";"19/08/10";"AUROCO";"M04";"SI";"0";"";"NORMAL"
"
";"AUROCO00156";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"MORENA";"20";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M00";"SI";"0";"";"NORMAL"
"
";"AUROCO00157";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHARAPA";"20";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR INGRESAR AL CANAL";"19/08/10";"AUROCO";"M00";"SI";"0";"";"NORMAL"
"
";"AUROCO00158";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHINO";"20";"01/08/10";"31/08/10";"";"";"MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M00";"SI";"0";"";"NORMAL"
"
";"AUROCO00160";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"MORENA";"20";"01/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN AUROCO00160
MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M02";"SI";"1";"";"NORMAL"
"
";"AUROCO00161";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHARAPA";"20";"01/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN DE TRANSMISION AUROCO00161
MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M02";"SI";"1";"";"NORMAL"
"
";"AUROCO00162";"T044";"C071";"EJ7";"WIRELESS IDEA CORPORATION";"CHINO";"20";"01/08/10";"31/08/10";"";"";"ESTA ORDEN ANULA LA ORDEN AUROCO00162
MATERIAL NUEVO POR ENVIAR AL CANAL";"19/08/10";"AUROCO";"M02";"SI";"1";"";"NORMAL"
