"EDITAR";"C_CONTRATO";"C_CLIENTE";"INICIO_VIGENCIA";"FIN_VIGENCIA";"C_MONEDA";"INVERSION";"INVER_IGV";"MONTO_ORDENAR";"MONTO_OR_IGV";"OBSERVACIONES";"F_CREACION";"C_USUARIO";"RUC_CLIENTE";"NRO_FISICO";"FACTURADO";"TAZA_IGV";"TIPO_CAMBIO";
"
";"T0240";"C01";"01/04/11";"30/04/11";"Dolares";"2610";"3080";"2610";"3080";"PERÍODO DEL 02 AL 18 DE ABRIL.";"31/03/11";"AUROCO";"20374730062";"CAP  097-11";"";"18";""
"
";"T0241";"C066";"01/04/11";"30/04/11";"Dolares";"425";"502";"425";"502";"AVISOS ORDENADOS EN FRECUENCIA LATINA, MOTIVO DE PAUTA CHEFF FRESSON";"31/03/11";"AUROCO";"20100170842";"CAP 109-11";"";"18";""
"
";"T0245";"C070";"01/04/11";"31/05/11";"Dolares";"17653,35";"20831";"17653,35";"20831";"";"07/04/11";"AUROCO";"20511922730";"COM 002-11";"";"18";""
"
";"T0246";"C070";"01/04/11";"31/05/11";"Soles";"34194";"40349";"34194";"40349";"ORDEN AMERICA CONTRATO COM 002-11 MONTO EN DOLARES US$ 12,300.00
TIPO DE CAMBIO 2.78";"07/04/11";"AUROCO";"20511922730";"COM 002-11";"";"18";""
"
";"T0247";"C02";"01/04/11";"30/04/11";"Dolares";"17830";"21039";"17830";"21039";"";"08/04/11";"AUROCO";"20517845532";"CAP 110-11";"";"18";""
"
";"T0248";"C02";"01/04/11";"30/04/11";"Soles";"35862";"42317";"35862";"42317";"ORDENES AMERICA CONTRATO MOBILE SOLUTION CAP 110-11 MONTO EN DOLARES US$ 12,900 TIPO DE CAMBIO 2.78";"08/04/11";"AUROCO";"20517845532";"CAP 110-11";"";"18";""
"
";"T0249";"C0117";"01/04/11";"30/04/11";"Dolares";"3000";"3540";"3000";"3540";"";"08/04/11";"AUROCO";"20510256361";"CAP 107-11";"";"18";""
"
";"T0251";"C0104";"01/04/11";"30/04/11";"Dolares";"375";"443";"375";"443";"";"14/04/11";"AUROCO";"20431684871";"CAP 115-11";"";"18";""
"
";"T0252";"C0106";"01/04/11";"30/04/11";"Dolares";"3360";"3964,8";"3360";"3964,8";"";"14/04/11";"AUROCO";"20216504390";"CAP 116-11";"";"18";""
"
";"T0253";"C0106";"01/04/11";"30/04/11";"Soles";"22960";"27093";"22960";"27093";"MONTO EN DOLARES US$ 8,200 TIPO DE CAMBIO 2.8";"14/04/11";"AUROCO";"20216504390";"CAP 117-11";"";"18";""
"
";"T0264";"C0119";"01/05/11";"30/06/11";"Soles";"69440";"81939";"69440";"81939";"CONTRATO PAUTA EN SOLES PAUTA LADRILLOS PIRAMIDE MONTO EN DOLARES US$ 24,800.00, TIPO DE CAMBIO 2.8";"05/05/11";"AUROCO";"20100132916";"COM 003-11";"";"18";""
"
";"T0255";"C0104";"01/04/11";"30/04/11";"Dolares";"375";"443";"375";"443";"";"26/04/11";"AUROCO";"20431684871";"CAP 119-2011";"";"18";""
"
";"T0256";"C0104";"01/05/11";"31/05/11";"Dolares";"375";"442,5";"375";"442,5";"";"27/04/11";"AUROCO";"20431684871";"CAP 121-11";"";"18";""
"
";"T0263";"C0119";"01/05/11";"30/06/11";"Dolares";"10200";"12036";"10200";"12036";"";"05/05/11";"AUROCO";"20100132916";"COM 003-11";"";"18";""
"
";"T0262";"C05";"01/05/11";"31/07/11";"Dolares";"12140";"14325";"12140";"14325";"";"02/05/11";"AUROCO";"20104443819";"CAP 125-11";"";"18";""
"
";"T0281";"C044";"01/06/11";"30/06/11";"Soles";"20906,59";"24669,7762";"20906,59";"24669,7762";"";"08/06/11";"AUROCO";"20147883952";"CAP 142-11";"";"18";""
"
";"T0266";"C00";"01/05/11";"31/05/11";"Dolares";"3120";"3682";"3120";"3682";"";"11/05/11";"AUROCO";"20100704227";"CAP 130-11";"";"18";""
"
";"T0267";"C0121";"01/05/11";"31/05/11";"Soles";"5890,38";"6951";"5890,38";"6951";"AVISOS ROTATIVOS 20"" FILIAL HUANCAYO - CHEMAYOLIC";"11/05/11";"AUROCO";"20100265479";"COM 004-11";"";"18";""
"
";"T0268";"C0106";"01/05/11";"31/05/11";"Dolares";"2880";"3398";"2880";"3398";"";"12/05/11";"AUROCO";"20216504390";"CAP 131-11";"";"18";""
"
";"T0269";"C0106";"01/05/11";"31/05/11";"Soles";"32144";"37930";"32144";"37930";"AVISOS TELEFECTIVOS MONTO EN DOLARES 11,480.00 + IGV TIPO DE CAMBIO 2.8";"12/05/11";"AUROCO";"20216504390";"CAP 132-11";"";"18";""
"
";"T0271";"C0123";"01/05/11";"30/06/11";"Dolares";"6300";"7434";"6300";"7434";"";"20/05/11";"AUROCO";"20419757331";"CAP 128-11";"";"18";""
"
";"T0273";"C086";"01/06/11";"30/06/11";"Dolares";"810";"955,8";"810";"955,8";"CONTRATO PARA AVISOS INGRESADOS EN CANAL N";"26/05/11";"AUROCO";"20100341914";"CAP 126-11";"";"18";""
"
";"T0274";"C086";"01/06/11";"30/06/11";"Soles";"186732";"220343,76";"186732";"220343,76";"CONTRATO PARA AVISOS INGRESADO EN AMERICA TELEVISION, MONTO EN DOLARES US$ 66,690.00 + IGV";"26/05/11";"AUROCO";"20100341914";"CAP 126-11";"";"18";""
"
";"T0275";"C0121";"01/06/11";"30/06/11";"Soles";"9300,6";"10974,708";"9300,6";"10974,708";"AVISOS ROTATIVOS 20"" FILIAL HUANCAYO - CHEMAYOLIC";"31/05/11";"AUROCO";"20100265479";"COM 006-11";"";"18";""
"
";"T0276";"C00";"01/06/11";"30/06/11";"Dolares";"3267";"3855";"3267";"3855";"";"01/06/11";"AUROCO";"20100704227";"CAP 137-11";"";"18";""
"
";"T0277";"C080";"01/06/11";"31/07/11";"Dolares";"16480,42";"19447";"16480,42";"19447";"EL MONTO DEL CONTRATO CORRESPONDE A MONTO NETO";"01/06/11";"AUROCO";"20100097746";"CAP 138-11";"";"18";""
"
";"T0278";"C070";"01/06/11";"30/06/11";"Dolares";"25640";"30255";"25640";"30255";"";"01/06/11";"AUROCO";"20511922730";"COM 005-11";"";"18";""
"
";"T0279";"C026";"01/06/11";"30/06/11";"Dolares";"3750";"4425";"3750";"4425";"AUSPICIO PROGRAMA ELECCIONES 2011 SEGUNDA VUELTA - PANAMERICANA TELEVISION";"02/06/11";"AUROCO";"20384734503";"CAP 139-11";"";"18";""
"
";"T0280";"C040";"01/06/11";"30/06/11";"Dolares";"240";"283";"240";"283";"";"07/06/11";"AUROCO";"XXX";"CAP 141-11";"";"18";""
"
";"T037";"C045";"02/08/10";"31/08/10";"Dolares";"5680";"6759";"3000";"3570";"";"04/08/10";"AUROCO";"XXX";"CAP 085-2010";"";"19";""
"
";"T022";"C02";"19/07/10";"15/08/10";"Dolares";"18810";"22384";"15000";"17850";"PAGO 50% 15 AGOSTO 2010
PAGO 50% 30 AGOSTO 2010";"16/07/10";"AUROCO";"20517845532";"CAP 064-2010";"";"19";""
"
";"T030";"C064";"01/08/10";"15/08/10";"Dolares";"1600";"1904";"1000";"1190";"ORDEN INGRESADA PARA LA UNIVERSIDAD DE CIENCIAS Y HUMANIDADES - UCH";"26/07/10";"AUROCO";"20125753869";"CAP 074-2010";"";"19";""
"
";"T084";"C060";"01/11/10";"31/12/10";"Dolares";"1890";"2249";"1890";"2249";"";"10/11/10";"AUROCO";"20520568884";"CAP 136-2010";"";"19";""
"
";"T087";"C091";"01/11/10";"31/12/10";"Dolares";"4781,25";"5690";"4781,25";"5690";"FACTURAR A VER PUBLICIDAD";"18/11/10";"AUROCO";"20100166144";"CAP 143-2010";"";"19";""
"
";"T089";"C092";"01/11/10";"30/11/10";"Dolares";"858,67";"1022";"858,67";"1022";"";"22/11/10";"AUROCO";"XXX";"CAP 145-2010";"";"19";""
"
";"T0132";"C0104";"01/01/11";"31/01/11";"Dolares";"375";"446";"375";"446";"";"13/01/11";"AUROCO";"20431684871";"CAP 010-2011";"";"19";""
"
";"T0130";"C088";"01/01/11";"31/01/11";"Dolares";"1962,59";"2335";"1962,59";"2335";"";"13/01/11";"AUROCO";"20345128922";"CAP 009-11";"";"19";""
"
";"T0131";"C00";"01/01/11";"31/01/11";"Dolares";"3071";"3654";"3071";"3654";"";"13/01/11";"AUROCO";"20100704227";"CAP 006-11";"";"19";""
"
";"T0133";"C0105";"01/01/11";"31/01/11";"Dolares";"360";"428";"360";"428";"";"13/01/11";"AUROCO";"20523886861";"CAP 011-11";"";"19";""
"
";"T0212";"C065";"01/03/11";"31/03/11";"Dolares";"3066";"3618";"3066";"3618";"";"10/03/11";"AUROCO";"20506690928";"CAP 081-11";"";"18";""
"
";"T0242";"C02";"01/04/11";"30/04/11";"Soles";"7784";"9185";"7784";"9185";"REPOSICION DE AVISOS AMERICA T. CONTRATO CAP 080-11
MONTO EN DOLARES US$ 2800 - TIPO DE CAMBIO 2.78";"06/04/11";"AUROCO";"20517845532";"CAP 080-11";"";"18";""
"
";"T0243";"C0109";"01/04/11";"31/05/11";"Dolares";"2362,5";"2787,75";"2362,5";"2787,75";"";"06/04/11";"AUROCO";"20516497964";"CAP 111-11";"";"18";""
"
";"T0244";"C0104";"01/04/11";"30/04/11";"Dolares";"375";"443";"375";"443";"";"06/04/11";"AUROCO";"20431684871";"CAP 112-11";"";"18";""
"
";"T0250";"C00";"01/04/11";"31/05/11";"Dolares";"5647";"6663";"5647";"6663";"";"13/04/11";"AUROCO";"20100704227";"CAP 113-11";"";"18";""
