"EDITAR";"C_ORDEN";"N_MOVIMIENTO";"TIPO";"DESCRIPCION";"PORCENTAJE";"MONTO";"TOTAL";"FECHA";
"
";"AUROCO00818";"1";"DESC";"CONT. MULTIMEDIO";"3,15";"791,8155";"24345,1845";"15/03/11"
"
";"AUROCO00818";"2";"DESC";"UNIPRODUCTO";"15";"3651,777675";"20693,406825";"15/03/11"
"
";"AUROCO00818";"3";"DESC";"COM. AGENCIA";"15";"3104,01102375";"17589,39580125";"15/03/11"
"
";"AUROCO00818";"4";"CARG";"CREDITO";",64";"112,572133128";"17701,967934378";"15/03/11"
"
";"AUROCO00820";"0";"DESC";"VOLUMEN DE COMPRA";"11";"642,4";"5197,6";"17/03/11"
"
";"AUROCO00820";"1";"DESC";"COM. AGENCIA";"15";"779,64";"4417,96";"17/03/11"
"
";"AUROCO00820";"2";"CARG";"CREDITO";",64";"28,274944";"4446,234944";"17/03/11"
"
";"AUROCO00834";"1";"DESC";"VOLUMEN DE COMPRA";"15";"3327,66";"18856,74";"12/04/11"
"
";"AUROCO00827";"0";"DESC";"COM. AGENCIA";"15";"2614,5";"14815,5";"17/03/11"
"
";"AUROCO00827";"1";"CARG";"CREDITO";",64";"94,8192";"14910,3192";"17/03/11"
"
";"AUROCO00834";"2";"DESC";"COM. AGENCIA";"15";"2828,511";"16028,229";"12/04/11"
"
";"AUROCO00834";"0";"DESC";"CONT. MULTIMEDIO";"2,7";"615,6";"22184,4";"12/04/11"
"
";"AUROCO00834";"3";"CARG";"CREDITO";"1,45";"232,4093205";"16260,6383205";"12/04/11"
"
";"AUROCO00836";"1";"DESC";"VOLUMEN DE COMPRA";"15";"3327,66";"18856,74";"12/04/11"
"
";"AUROCO00836";"0";"DESC";"CONT. MULTIMEDIO";"2,7";"615,6";"22184,4";"12/04/11"
"
";"AUROCO00933";"0";"DESC";"COM. AGENCIA";"15";"298,8";"1693,2";"27/04/11"
"
";"AUROCO00836";"2";"DESC";"COM. AGENCIA";"15";"2828,511";"16028,229";"12/04/11"
"
";"AUROCO00879";"0";"DESC";"CUMPLIMIENTO";"2";"686,7";"33648,3";"30/03/11"
"
";"AUROCO00879";"1";"DESC";"CONT. MULTIMEDIO";"3,15";"1059,92145";"32588,37855";"30/03/11"
"
";"AUROCO00879";"2";"DESC";"UNIPRODUCTO";"15";"4888,2567825";"27700,1217675";"30/03/11"
"
";"AUROCO00879";"3";"DESC";"COM. AGENCIA";"15";"4155,018265125";"23545,103502375";"30/03/11"
"
";"AUROCO00879";"4";"CARG";"CREDITO";",64";"150,6886624152";"23695,7921647902";"30/03/11"
"
";"AUROCO00859";"0";"DESC";"VOLUMEN DE COMPRA";"11";"843,15";"6821,85";"07/04/11"
"
";"AUROCO00859";"1";"DESC";"COM. AGENCIA";"15";"1023,2775";"5798,5725";"07/04/11"
"
";"AUROCO00859";"2";"CARG";"CREDITO";",64";"37,110864";"5835,683364";"07/04/11"
"
";"AUROCO00860";"0";"DESC";"VOLUMEN DE COMPRA";"11";"240,9";"1949,1";"07/04/11"
"
";"AUROCO00860";"1";"DESC";"COM. AGENCIA";"15";"292,365";"1656,735";"07/04/11"
"
";"AUROCO00860";"2";"CARG";"CREDITO";",64";"10,603104";"1667,338104";"07/04/11"
"
";"AUROCO00836";"3";"CARG";"CREDITO";"1,45";"232,4093205";"16260,6383205";"12/04/11"
"
";"AUROCO00933";"1";"CARG";"CREDITO";",64";"10,83648";"1704,03648";"27/04/11"
"
";"AUROCO00974";"1";"DESC";"CONT. MULTIMEDIO";"3,15";"1059,92145";"32588,37855";"12/05/11"
"
";"AUROCO00974";"2";"DESC";"UNIPRODUCTO";"15";"4888,2567825";"27700,1217675";"12/05/11"
"
";"AUROCO00974";"0";"DESC";"CUMPLIMIENTO";"2";"686,7";"33648,3";"12/05/11"
"
";"AUROCO00974";"3";"DESC";"COM. AGENCIA";"15";"4155,018265125";"23545,103502375";"12/05/11"
"
";"AUROCO00974";"4";"CARG";"CREDITO";",64";"150,6886624152";"23695,7921647902";"12/05/11"
"
";"AUROCO01020";"0";"DESC";"COMISION AGENCIA";"15";"450";"2550";"02/06/11"
"
";"AUROCO01229";"0";"DESC";"COM. AGENCIA";"15";"641,25";"3633,75";"02/08/11"
"
";"AUROCO01229";"1";"CARG";"CREDITO";",64";"23,256";"3657,006";"02/08/11"
"
";"AUROCO01498";"0";"DESC";"COM. AGENCIA";"15";"224,1";"1269,9";"18/10/11"
"
";"AUROCO01475";"0";"DESC";"COM. AGENC.";"15";"672,3";"3809,7";"12/10/11"
"
";"AUROCO01498";"1";"CARG";"CREDITO";",64";"8,12736";"1278,02736";"18/10/11"
"
";"AUROCO01475";"1";"CARG";"CREDITO";",64";"24,38208";"3834,08208";"12/10/11"
"
";"AUROCO01510";"0";"DESC";"VOLUMEN DE COMPRA";"11";"321,2";"2598,8";"18/10/11"
"
";"AUROCO01510";"1";"DESC";"COM AGENCIA";"15";"389,82";"2208,98";"18/10/11"
"
";"AUROCO01510";"2";"CARG";"CREDITO";",64";"14,137472";"2223,117472";"18/10/11"
"
";"AUROCO01511";"0";"DESC";"VOLUMEN DE COMPRA";"11";"321,2";"2598,8";"18/10/11"
"
";"AUROCO01511";"1";"DESC";"COM AGENCIA";"15";"389,82";"2208,98";"18/10/11"
"
";"AUROCO01511";"2";"CARG";"CREDITO";",64";"14,137472";"2223,117472";"18/10/11"
"
";"AUROCO01586";"0";"DESC";"COM. AGENCIA";"15";"1282,5";"7267,5";"07/11/11"
"
";"AUROCO01586";"1";"CARG";"CREDITO";",64";"46,512";"7314,012";"07/11/11"
"
";"AUROCO01634";"0";"DESC";"VOLUMEN DE COMPRA";"11";"642,4";"5197,6";"16/11/11"
"
";"AUROCO01542";"0";"DESC";"VOLUMEN DE COMPRA";"11";"1045";"8455";"24/10/11"
"
";"AUROCO01542";"1";"DESC";"COM. AGENCIA";"15";"1268,25";"7186,75";"24/10/11"
"
";"AUROCO01542";"2";"CARG";"CREDITO";",64";"45,9952";"7232,7452";"24/10/11"
"
";"AUROCO01560";"0";"DESC";"COM. AGENCIA";"15";"1710";"9690";"27/10/11"
"
";"AUROCO01560";"1";"CARG";"CREDITO";",64";"62,016";"9752,016";"27/10/11"
